P,Scatter time,Sobel time,Gather time
4,1.0,1.0,1.0
9,1.23,2.23,1.17
16,1.42,3.9,1.1
25,1.35,5.72,1.21
36,1.33,7.34,1.2
49,1.33,10.46,1.18
64,1.25,11.61,1.14
81,1.19,10.05,1.13
