P,Scatter time,Sobel time,Gather time
4,1.0,1.0,1.0
9,0.99,2.24,1.04
16,1.21,3.8,1.03
25,1.22,6.0,1.04
36,1.32,8.17,1.09
49,1.21,11.43,1.06
64,1.15,13.25,1.1
81,1.08,10.26,1.07
